entry_time_et,exit_time_et,side,qty,entry_price,exit_price,pnl_usd,stop_dist_pt,r_multiple,exit_reason,duration_min
2019-01-02 09:30:00,2019-01-02 15:55:00,LONG,5,10005.25,10142.75,1365.0,14.75,9.25,收盘平仓,385.0
2019-01-03 09:30:00,2019-01-03 09:35:00,LONG,6,10063.0,10047.5,-198.0,14.75,-1.12,初始止损,5.0
2019-01-04 09:35:00,2019-01-04 15:55:00,LONG,6,10041.0,10205.0,1956.0,15.0,10.87,收盘平仓,380.0
2019-01-07 09:30:00,2019-01-07 09:35:00,LONG,6,10216.25,10199.75,-210.0,15.5,-1.13,初始止损,5.0
2019-01-08 09:30:00,2019-01-08 09:45:00,LONG,6,10351.75,10335.5,-207.0,15.0,-1.15,初始止损,15.0
2019-01-09 09:35:00,2019-01-09 09:45:00,LONG,6,10370.5,10354.25,-207.0,14.5,-1.19,初始止损,10.0
2019-01-10 09:30:00,2019-01-10 10:20:00,SHORT,6,10320.0,10336.0,-204.0,14.0,-1.21,初始止损,50.0
2019-01-11 09:35:00,2019-01-11 10:00:00,SHORT,7,10353.75,10367.5,-206.5,13.5,-1.09,初始止损,25.0
2019-01-14 09:30:00,2019-01-14 09:40:00,SHORT,7,10297.5,10311.0,-203.0,13.0,-1.12,初始止损,10.0
2019-01-15 09:30:00,2019-01-15 15:55:00,LONG,7,10366.5,10451.25,1172.5,12.5,6.7,收盘平仓,385.0
2019-01-16 09:30:00,2019-01-16 10:35:00,LONG,8,10474.5,10462.25,-212.0,12.25,-1.08,初始止损,65.0
2019-01-17 09:40:00,2019-01-17 15:55:00,LONG,8,10437.25,10499.75,984.0,11.75,5.23,收盘平仓,375.0
2019-01-18 09:40:00,2019-01-18 10:15:00,SHORT,8,10522.25,10534.75,-216.0,11.5,-1.17,初始止损,35.0
2019-01-21 09:30:00,2019-01-21 12:55:00,SHORT,8,10523.0,10535.5,-216.0,11.25,-1.2,初始止损,205.0
2019-01-22 09:45:00,2019-01-22 15:55:00,SHORT,9,10494.25,10435.25,1044.0,10.75,5.4,收盘平仓,370.0
2019-01-23 09:30:00,2019-01-23 10:15:00,LONG,9,10472.0,10460.5,-225.0,10.75,-1.16,初始止损,45.0
2019-01-24 09:45:00,2019-01-24 09:55:00,LONG,9,10468.75,10457.5,-220.5,10.75,-1.14,初始止损,10.0
2019-01-25 09:30:00,2019-01-25 09:45:00,SHORT,9,10514.5,10525.75,-220.5,10.25,-1.2,初始止损,15.0
2019-01-28 09:30:00,2019-01-28 10:20:00,SHORT,10,10448.5,10458.5,-220.0,10.0,-1.1,初始止损,50.0
2019-01-29 09:35:00,2019-01-29 09:45:00,SHORT,9,10456.0,10467.0,-216.0,10.25,-1.17,初始止损,10.0
